max beta,nb beta,avg max obj,avg size of S
3.0,5.0,4.614769965918195,37.666666666666664
3.0,7.0,5.0935636717158745,49.0
3.0,10.0,3.595259980632259,79.33333333333333
3.0,13.0,4.522375948591756,64.33333333333333
4.0,5.0,3.583713285491603,57.0
4.0,7.0,3.7870640677855825,34.666666666666664
4.0,10.0,4.7200113664531,48.0
4.0,13.0,4.015627958924568,37.333333333333336
5.0,5.0,3.743525686366949,40.666666666666664
5.0,7.0,3.462299387038101,62.333333333333336
5.0,10.0,4.2952557403837215,57.666666666666664
5.0,13.0,4.680450078024328,47.333333333333336
